Año;Departamento;Producto;Area;Produccion;Rendimiento;Produccion Nacional;Area Nacional
2007;ANTIOQUIA;AGUACATE;1.828,70;19.984,10;10,93;11,49;10,36
2007;BOLIVAR;AGUACATE;3.308,00;43.080,00;13,02;24,77;18,73
2007;BOYACA;AGUACATE;127,00;1.134,00;8,93;0,65;0,72
2007;CALDAS;AGUACATE;705,16;5.471,20;7,76;3,15;3,99
2007;CASANARE;AGUACATE;6,00;58,00;9,67;0,03;0,03
2007;CAUCA;AGUACATE;16,42;85,68;5,22;0,05;0,09
2007;CESAR;AGUACATE;1.854,00;14.078,00;7,59;8,09;10,50
2007;CUNDINAMARCA;AGUACATE;130,90;1.091,00;8,33;0,63;0,74
2007;HUILA;AGUACATE;149,80;1.810,20;12,08;1,04;0,85
2007;LA GUAJIRA;AGUACATE;296,00;1.284,00;4,34;0,74;1,68
2007;META;AGUACATE;36,00;511,00;14,19;0,29;0,20
2007;NARIÑO;AGUACATE;11,00;106,00;9,64;0,06;0,06
2007;NORTE DE SANTANDER;AGUACATE;144,00;1.829,90;12,71;1,05;0,82
2007;QUINDIO;AGUACATE;453,80;3.745,80;8,25;2,15;2,57
2007;RISARALDA;AGUACATE;575,00;5.336,20;9,28;3,07;3,26
2007;SANTANDER;AGUACATE;2.114,20;18.684,60;8,84;10,74;11,97
2007;SUCRE;AGUACATE;266,00;1.730,00;6,50;0,99;1,51
2007;TOLIMA;AGUACATE;4.507,00;41.592,50;9,23;23,91;25,53
2007;VALLE DEL CAUCA;AGUACATE;1.128,10;12.321,79;10,92;7,08;6,39
2008;AMAZONAS;AGUACATE;27,00;169,00;6,26;0,10;0,15
2008;ANTIOQUIA;AGUACATE;2.040,80;20.102,80;9,85;11,75;11,45
2008;BOLIVAR;AGUACATE;3.475,00;45.180,00;13,00;26,40;19,49
2008;BOYACA;AGUACATE;70,50;813,70;11,54;0,48;0,40
2008;CALDAS;AGUACATE;838,90;6.741,00;8,04;3,94;4,71
2008;CASANARE;AGUACATE;10,00;119,00;11,90;0,07;0,06
2008;CAUCA;AGUACATE;28,00;129,00;4,61;0,08;0,16
2008;CESAR;AGUACATE;1.884,00;11.985,00;6,36;7,00;10,57
2008;CHOCO;AGUACATE;30,00;300,00;10,00;0,18;0,17
2008;CORDOBA;AGUACATE;0,00;0,00;0,00;0,00;0,00
2008;CUNDINAMARCA;AGUACATE;194,55;2.107,50;10,83;1,23;1,09
2008;HUILA;AGUACATE;172,80;2.040,95;11,81;1,19;0,97
2008;LA GUAJIRA;AGUACATE;364,00;1.598,00;4,39;0,93;2,04
2008;META;AGUACATE;60,00;610,00;10,17;0,36;0,34
2008;NARIÑO;AGUACATE;13,00;61,00;4,69;0,04;0,07
2008;NORTE DE SANTANDER;AGUACATE;147,50;1.834,40;12,44;1,07;0,83
2008;QUINDIO;AGUACATE;493,50;3.468,70;7,03;2,03;2,77
2008;RISARALDA;AGUACATE;457,68;5.172,02;11,30;3,02;2,57
2008;SANTANDER;AGUACATE;1.671,50;12.690,00;7,59;7,41;9,38
2008;SUCRE;AGUACATE;268,00;1.871,00;6,98;1,09;1,50
2008;TOLIMA;AGUACATE;4.398,00;41.504,00;9,44;24,25;24,67
2008;VALLE DEL CAUCA;AGUACATE;1.181,00;12.658,10;10,72;7,40;6,63
2009;ANTIOQUIA;AGUACATE;2.376,00;23.115,00;9,73;12,23;12,34
2009;BOLIVAR;AGUACATE;3.890,00;39.992,00;10,28;21,16;20,20
2009;BOYACA;AGUACATE;68,00;780,28;11,47;0,41;0,35
2009;CALDAS;AGUACATE;954,40;8.326,50;8,72;4,40;4,96
2009;CASANARE;AGUACATE;12,00;143,50;11,96;0,08;0,06
2009;CAUCA;AGUACATE;28,00;190,32;6,80;0,10;0,15
2009;CESAR;AGUACATE;1.614,00;11.222,10;6,95;5,94;8,38
2009;CHOCO;AGUACATE;20,00;120,00;6,00;0,06;0,10
2009;CORDOBA;AGUACATE;3,25;30,00;9,23;0,02;0,02
2009;CUNDINAMARCA;AGUACATE;113,67;479,70;4,22;0,25;0,59
2009;HUILA;AGUACATE;185,20;2.074,20;11,20;1,10;0,96
2009;LA GUAJIRA;AGUACATE;393,00;1.725,50;4,39;0,91;2,04
2009;META;AGUACATE;67,00;908,00;13,55;0,48;0,35
2009;NARIÑO;AGUACATE;17,50;30,98;1,77;0,02;0,09
2009;NORTE DE SANTANDER;AGUACATE;151,50;1.743,40;11,51;0,92;0,79
2009;QUINDIO;AGUACATE;559,60;4.051,35;7,24;2,14;2,91
2009;RISARALDA;AGUACATE;553,00;6.515,00;11,78;3,45;2,87
2009;SANTANDER;AGUACATE;1.912,50;15.633,00;8,17;8,27;9,93
2009;SUCRE;AGUACATE;269,00;1.971,50;7,33;1,04;1,40
2009;TOLIMA;AGUACATE;4.892,00;58.201,65;11,90;30,79;25,41
2009;VALLE DEL CAUCA;AGUACATE;1.173,80;11.774,21;10,03;6,23;6,10
2010;ANTIOQUIA;AGUACATE;2.907,20;28.819,25;9,91;14,03;13,47
2010;BOLIVAR;AGUACATE;3.533,00;35.304,00;9,99;17,18;16,36
2010;BOYACA;AGUACATE;115,50;1.234,00;10,68;0,60;0,53
2010;CALDAS;AGUACATE;1.340,70;12.134,10;9,05;5,91;6,21
2010;CASANARE;AGUACATE;16,00;151,00;9,44;0,07;0,07
2010;CAUCA;AGUACATE;176,00;2.589,70;14,71;1,26;0,82
2010;CESAR;AGUACATE;1.657,00;11.477,50;6,93;5,59;7,67
2010;CHOCO;AGUACATE;17,00;102,00;6,00;0,05;0,08
2010;CORDOBA;AGUACATE;3,80;11,40;3,00;0,01;0,02
